"manufacturer","module","quantity","manual file name"
"2hp","3 to 1",1,"3_To_1_Manual.pdf"
"2hp","Arp",1,"2hp_Arp_Manual_2023.pdf"
"2hp","Bell",1,"2hp_Bell.pdf"
"2hp","Blur",1,"2hp_Blur.pdf"
"2hp","Brst",1,"Brst_Manual.pdf"
"2hp","Comb",2,"Comb_Manual.pdf"
"2hp","Delay",1,"Delay_Manual.pdf"
"2hp","Euclid",1,"2hp_Euclid.pdf"
"2hp","Freez",1,"Freez_Manual.pdf"
"2hp","Grain",1,"2hp_Grain_Manual.pdf"
"2hp","Kick",1,"2hp_Kick.pdf"
"2hp","MMF",1,"2hp_MMF.pdf"
"2hp","Pitch",1,"2hp_Pitch.pdf"
"2hp","Pluck",1,"2hp_Pluck.pdf"
"2hp","Rnd",1,"2hp_Rnd.pdf"
"2hp","Slice",3,"2hp_Slice.pdf"
"2hp","Swarm",1,"2hp_Swarm_v1-0.pdf"
"2hp","Switch",2,"2hp_Switch.pdf"
"2hp","Tune",1,"Tune_Manual_2023.pdf"
"2hp","Turing Machine",1,"TM_Manual.pdf"
"2hp","Unity",2,"2hp_Unity.pdf"
"4ms","Rotating Clock Divider",1,"RCD-manual-1.2.pdf"
"ADDAC Systems","ADDAC-112 Granular Looper",1,"ADDAC112_Granular_E_0.pdf"
"ADDAC Systems","ADDAC-207 Quantizer",1,"ADDAC_207_Quantizer_REV05.pdf"
"ADDAC Systems","ADDAC-402 Heuristic Rhythm Generator",1,"ADDAC402_UsersGuide_A_0_web_6500.pdf"
"ADDAC Systems","ADDAC-506 SignalFlow",1,"ADDAC506_SignalFlow.pdf"
"ADDAC Systems","ADDAC-714 Vintage Clipper",1,"ADDAC714_VintageClipper_A_0.pdf"
"ALM","ALM034 - Pam's Pro Workout",1,"alm034-manual.pdf"
"Abstract Data","ADE-33 Event Boss",1,"ADE33_Manual_v1_0.pdf"
"Access Virus","TI Snow",1,"Virus_TI_Snow_Quickstart.pdf"
"Acid Rain","Chainsaw",1,"Chainsaw_Manual_1.1.pdf"
"Arturia","Keystep Pro",1,"keystep-pro_Manual_1_1_0_EN.pdf"
"Bastl Instruments","ABC Mixer",2,"manual-abc-web.pdf"
"Behringer","173",9,"QSG_BE_0720-AAL_173 QUAD GATE-MULTIPLES_WW.pdf"
"Behringer","System 55",1,"QSG_BE_System-55_WW.pdf"
"Black Noise","Cosmos",1,"BLACK-NOISE_COSMOS_User-Manual_V1.pdf"
"Blue Lantern Modules","Voks Analog Filter",1,"BLM Voks Analog Filter.pdf"
